GENRE	TEXT	LABEL	EXTRACTION
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0066	ita	Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0002	ita	Lucca
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0004	ita	Alberto
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0006	ita	Rossette
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0008	ita	fresco
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0010	ita	Bastianino
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0012	ita	fresco
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0014	ita	piazza
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0016	ita	Ferrara
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0018	ita	Ferrara
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0020	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0022	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0024	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0026	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0028	ita	Placidia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0030	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_102_out.txt_0032	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_103_out.txt_0002	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_103_out.txt_0004	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_103_out.txt_0006	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_103_out.txt_0008	ita	Dante
